service_slug,source_folder,filename,file_size,composition,clarity,relevance,hero_potential,feature_potential,process_potential,total_score,recommended_role,notes
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0671.JPG,1317190,8,8,8,9,6,5,44,hero,"Wide landscape-oriented ceiling shot showing full CF reinforcement grid across large pavilion slab; multiple workers on scissor lifts; excellent scale and drama"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0672.JPG,1314796,8,8,8,9,6,5,44,hero,"Similar to 0671 but slightly different angle; both strong hero candidates; 0671 preferred for worker placement"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0674.JPG,1307778,7,8,8,8,6,5,42,,Ceiling shot with fewer elements in frame; strong but less interesting than 0671"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0675.JPG,1286834,7,8,8,8,6,5,42,,"Wide ceiling shot showing CF strips; good but 0671 has more visual depth"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0673.JPG,1270229,8,8,8,8,6,6,44,,"Good wide shot showing full installation scope with worker; strong composition"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0655.JPG,1266085,6,7,7,6,5,7,38,,"Concrete wall excavation showing exposed rebar pockets - structural prep work"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0685.JPG,1160620,7,7,8,7,8,4,41,feature,"Wall-mounted CF strips with dramatic vertical composition; good detail shot of finished installation pattern"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0684.JPG,1148593,7,7,8,7,8,4,41,feature,"Similar to 0685; CF strips on wall clearly showing cross-pattern reinforcement detail"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0686.JPG,1131313,6,7,8,6,8,4,39,,"Wall CF pattern; slightly less dramatic than 0685"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0667 (1).JPG,1124235,8,8,8,7,6,9,46,process,"Worker on elevated platform applying CF strips to ceiling; excellent action shot showing the installation technique"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0681.JPG,1114030,8,8,8,8,6,6,44,,"Wide shot showing work in progress with scaffold equipment and workers throughout large space"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0680.JPG,1099768,7,8,8,9,5,5,42,,"Wide bright shot with multiple scissor lifts and workers; very good scale shot"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0654.JPG,1029792,7,7,7,6,5,8,40,,"Workers with scissor lifts and cherry pickers; good process but complex foreground"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0569.JPG,849886,9,9,9,7,8,9,51,process,"Close-up of worker on elevated platform precisely measuring and applying CF strip to ceiling; excellent craftmanship shot showing technique - TRD branding visible"
structural-strengthening,CARBON FIBRE REINFORCEMENT - CARINGBAH PAVILION,IMG_0629.JPG,684375,8,8,9,6,7,9,47,,"TRD-branded worker chiseling concrete for CF prep; TRD vest clearly visible"
structural-strengthening,STRUCTURAL STEEL REINFORCING - WAITARA,IMG_4125.JPG,768461,9,9,9,8,8,9,52,process,"Dramatic welding shot - worker in orange hi-vis with welding mask; cascade of orange sparks flying; excellent drama and craftsmanship; dark moody atmosphere"
structural-strengthening,STRUCTURAL STEEL REINFORCING - WAITARA,IMG_4126.JPG,721811,8,9,9,7,8,9,50,,"Very similar welding shot; sparks less dramatic than 4125"
structural-strengthening,STRUCTURAL REMEDIATION - 54 ADVANCED STREET SCHOFIELDS,IMG_5531.JPG,881707,8,8,8,9,5,5,43,hero,"Wide underground carpark shot showing completed crack mapping on ceiling with CFRP strips; depth of space very dramatic; yellow columns add color"
structural-strengthening,STRUCTURAL REMEDIATION - 54 ADVANCED STREET SCHOFIELDS,IMG_5536.JPG,807926,8,8,8,9,5,5,43,,"Similar wide carpark with CFRP ceiling strips; bright lighting"
structural-strengthening,STRUCTURAL REMEDIATION - 54 ADVANCED STREET SCHOFIELDS,IMG_5572.JPG,828060,8,8,7,6,9,5,43,,"Extreme macro of crack with injection nozzle; excellent feature detail"
structural-strengthening,STRUCTURAL REMEDIATION - 54 ADVANCED STREET SCHOFIELDS,IMG_5519.JPG,857387,7,7,6,6,6,5,37,,"Carpark floor with crack repairs and vehicles; context-setting but vehicles distract"
structural-strengthening,STRUCTURAL REMEDIATION - 54 ADVANCED STREET SCHOFIELDS,IMG_5523.JPG,864750,7,7,6,6,6,5,37,,"Carpark floor with cracks and bikes; context shot"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1438.JPG,1080735,9,8,9,9,7,8,50,hero,"Dramatic wide interior shot: massive concrete slab panel lifted by chains surrounded by yellow scaffold posts; worker observing; open sky visible through structure; excellent scale"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1436.JPG,1038474,9,8,9,9,7,9,51,hero,"Identical setup to 1438 with sparks flying from grinder in background; even more dramatic; strong process element"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1361.JPG,1188288,8,8,8,8,6,8,46,,"Wide shot of entire alteration site with yellow props and scaffolding; good establishing shot"
structural-alterations,STRUCTURAL ALTERATIONS - FLORENCE AND CARPI WENTWORTHPOINT_,IMG_1430.JPG,1111387,7,8,8,7,6,8,44,,"Worker surveying the massive shored opening; good process context"
